m,water,ethanol
0.0,0.0312920190126,0.115070429169
0.01,0.0312915794031,0.115473691849
0.02,0.0312918969759,0.115420765734
0.03,0.0312950918346,0.114974646555
0.04,0.0313028511412,0.114199107945
0.05,0.0313164680731,0.113154946383
0.06,0.0313368948899,0.111897706337
0.07,0.0313647992915,0.110476560621
0.08,0.0314006176559,0.108934004334
0.09,0.031444601983,0.107306069315
0.1,0.0314968594724,0.105622835863
0.11,0.0315573848607,0.10390908569
0.12,0.0316260862465,0.102184994843
0.13,0.0317028053531,0.100466805827
0.14,0.0317873331977,0.0987674459995
0.15,0.031879422052,0.0970970774463
0.16,0.0319787944545,0.0954635746603
0.17,0.0320851499047,0.0938729326715
0.18,0.0321981697485,0.0923296115848
0.19,0.0323175206595,0.0908368248416
0.2,0.0324428570357,0.0893967787653
0.21,0.0325738225608,0.0880108705906
0.22,0.0327100511227,0.0866798514941
0.23,0.0328511672422,0.0854039603587
0.24,0.0329967861252,0.0841830332058
0.25,0.0331465134335,0.0830165924857
0.26,0.0332999448418,0.081903919744
0.27,0.0334566654392,0.0808441145996
0.28,0.0336162490188,0.079836142469
0.29,0.0337782572919,0.0788788730496
0.3,0.0339422390572,0.0779711112185
0.31,0.0341077293497,0.0771116217098
0.32,0.0342742485916,0.0762991486917
0.33,0.0344413017668,0.0755324311577
0.34,0.0346083776358,0.0748102148877
0.35,0.0347749480114,0.0741312615919
0.36,0.0349404671126,0.0734943557438
0.37,0.0351043710157,0.0728983095137
0.38,0.0352660772221,0.0723419661385
0.39,0.0354249843639,0.0718242020067
0.4,0.035580472067,0.071343927679
0.41,0.035731900997,0.0709000880317
0.42,0.0358786131087,0.0704916616698
0.43,0.036019932127,0.0701176597345
0.44,0.0361551642826,0.0697771242023
0.45,0.0362835993306,0.0694691257588
0.46,0.0364045118774,0.0691927613148
0.47,0.0365171630434,0.0689471512187
0.48,0.0366208024867,0.0687314362151
0.49,0.0367146708117,0.0685447741875
0.5,0.0367980023848,0.0683863367241
0.51,0.0368700285749,0.0682553055364
0.52,0.0369299814331,0.0681508687669
0.53,0.0369770978188,0.0680722172143
0.54,0.0370106239731,0.0680185405113
0.55,0.0370298205314,0.0679890232906
0.56,0.0370339679586,0.0679828413761
0.57,0.0370223723747,0.0679991580428
0.58,0.0369943717319,0.0680371203915
0.59,0.0369493422846,0.0680958558886
0.6,0.0368867052837,0.0681744691261
0.61,0.0368059338087,0.0682720388612
0.62,0.0367065596364,0.0683876153981
0.63,0.0365881800334,0.0685202183757
0.64,0.0364504643435,0.0686688350289
0.65,0.0362931602322,0.0688324189868
0.66,0.0361160994435,0.0690098896705
0.67,0.0359192029185,0.0692001323486
0.68,0.0357024851289,0.0694019988985
0.69,0.0354660574808,0.0696143093131
0.7,0.0352101306596,0.0698358539786
0.71,0.0349350158006,0.070065396734
0.72,0.0346411243954,0.0703016787044
0.73,0.0343289668693,0.070543422882
0.74,0.0339991498009,0.0707893394067
0.75,0.0336523717861,0.0710381314809
0.76,0.0332894179903,0.0712885018269
0.77,0.0329111534668,0.0715391595862
0.78,0.0325185153559,0.0717888275356
0.79,0.0321125041143,0.072036249489
0.8,0.0316941739475,0.0722801977417
0.81,0.0312646226434,0.0725194804142
0.82,0.0308249810174,0.0727529485499
0.83,0.0303764021863,0.0729795028316
0.84,0.0299200508862,0.0731980997889
0.85,0.0294570930418,0.0734077573857
0.86,0.0289886857762,0.0736075598949
0.87,0.028515968031,0.0737966619876
0.88,0.0280400519386,0.0739742919862
0.89,0.0275620150591,0.0741397542546
0.9,0.0270828935657,0.0742924307189
0.91,0.0266036764278,0.0744317815355
0.92,0.0261253006172,0.0745573449381
0.93,0.0256486473287,0.0746687363166
0.94,0.0251745391898,0.0747656465895
0.95,0.0247037384072,0.0748478399437
0.96,0.0242369457868,0.0749151510218
0.97,0.0237748005499,0.0749674816422
0.98,0.0233178808574,0.0750047971358
0.99,0.0228667049553,0.0750271223853
